i,j,score
0.0,0.0,0.182
0.0,1.0,0.19
0.0,2.0,0.197
0.0,3.0,0.216
0.0,4.0,0.237
0.0,5.0,0.258
0.0,6.0,0.258
0.0,7.0,0.248
0.0,8.0,0.233
0.0,9.0,0.217
0.0,10.0,0.202
0.0,11.0,0.192
0.0,12.0,0.184
0.0,13.0,0.18
0.0,14.0,0.18
0.0,15.0,0.183
0.0,16.0,0.185
0.0,17.0,0.186
0.0,18.0,0.186
0.0,19.0,0.186
0.0,20.0,0.186
0.0,21.0,0.185
0.0,22.0,0.184
0.0,23.0,0.184
0.0,24.0,0.183
0.0,25.0,0.183
0.0,26.0,0.183
0.0,27.0,0.182
0.0,28.0,0.182
0.0,29.0,0.182
0.0,30.0,0.183
0.0,31.0,0.184
0.0,32.0,0.182
0.0,33.0,0.182
0.0,34.0,0.182
0.0,35.0,0.182
0.0,36.0,0.182
0.0,37.0,0.182
0.0,38.0,0.182
0.0,39.0,0.182
0.0,40.0,0.183
0.0,41.0,0.184
0.0,42.0,0.184
0.0,43.0,0.183
0.0,44.0,0.183
0.0,45.0,0.183
0.0,46.0,0.182
0.0,47.0,0.183
0.0,48.0,0.186
0.0,49.0,0.185
0.0,50.0,0.185
0.0,51.0,0.19
0.0,52.0,0.195
0.0,53.0,0.198
0.0,54.0,0.198
0.0,55.0,0.19
0.0,56.0,0.184
0.0,57.0,0.189
0.0,58.0,0.201
0.0,59.0,0.207
0.0,60.0,0.2
0.0,61.0,0.193
0.0,62.0,0.191
0.0,63.0,0.191
0.0,64.0,0.194
0.0,65.0,0.195
1.0,0.0,0.19
1.0,1.0,0.189
1.0,2.0,0.205
1.0,3.0,0.223
1.0,4.0,0.236
1.0,5.0,0.252
1.0,6.0,0.252
1.0,7.0,0.243
1.0,8.0,0.231
1.0,9.0,0.218
1.0,10.0,0.207
1.0,11.0,0.199
1.0,12.0,0.192
1.0,13.0,0.188
1.0,14.0,0.187
1.0,15.0,0.188
1.0,16.0,0.189
1.0,17.0,0.189
1.0,18.0,0.189
1.0,19.0,0.189
1.0,20.0,0.189
1.0,21.0,0.189
1.0,22.0,0.189
1.0,23.0,0.188
1.0,24.0,0.188
1.0,25.0,0.188
1.0,26.0,0.188
1.0,27.0,0.188
1.0,28.0,0.189
1.0,29.0,0.189
1.0,30.0,0.189
1.0,31.0,0.189
1.0,32.0,0.19
1.0,33.0,0.19
1.0,34.0,0.19
1.0,35.0,0.19
1.0,36.0,0.19
1.0,37.0,0.19
1.0,38.0,0.19
1.0,39.0,0.191
1.0,40.0,0.192
1.0,41.0,0.193
1.0,42.0,0.193
1.0,43.0,0.192
1.0,44.0,0.192
1.0,45.0,0.191
1.0,46.0,0.19
1.0,47.0,0.192
1.0,48.0,0.195
1.0,49.0,0.194
1.0,50.0,0.195
1.0,51.0,0.2
1.0,52.0,0.205
1.0,53.0,0.208
1.0,54.0,0.208
1.0,55.0,0.199
1.0,56.0,0.192
1.0,57.0,0.198
1.0,58.0,0.211
1.0,59.0,0.217
1.0,60.0,0.21
1.0,61.0,0.203
1.0,62.0,0.2
1.0,63.0,0.2
1.0,64.0,0.203
1.0,65.0,0.204
2.0,0.0,0.197
2.0,1.0,0.205
2.0,2.0,0.195
2.0,3.0,0.226
2.0,4.0,0.236
2.0,5.0,0.251
2.0,6.0,0.251
2.0,7.0,0.243
2.0,8.0,0.231
2.0,9.0,0.22
2.0,10.0,0.21
2.0,11.0,0.202
2.0,12.0,0.197
2.0,13.0,0.193
2.0,14.0,0.193
2.0,15.0,0.194
2.0,16.0,0.195
2.0,17.0,0.195
2.0,18.0,0.195
2.0,19.0,0.195
2.0,20.0,0.195
2.0,21.0,0.195
2.0,22.0,0.194
2.0,23.0,0.194
2.0,24.0,0.194
2.0,25.0,0.194
2.0,26.0,0.194
2.0,27.0,0.194
2.0,28.0,0.194
2.0,29.0,0.194
2.0,30.0,0.194
2.0,31.0,0.195
2.0,32.0,0.195
2.0,33.0,0.196
2.0,34.0,0.196
2.0,35.0,0.196
2.0,36.0,0.196
2.0,37.0,0.196
2.0,38.0,0.196
2.0,39.0,0.196
2.0,40.0,0.197
2.0,41.0,0.198
2.0,42.0,0.198
2.0,43.0,0.197
2.0,44.0,0.197
2.0,45.0,0.197
2.0,46.0,0.196
2.0,47.0,0.197
2.0,48.0,0.2
2.0,49.0,0.199
2.0,50.0,0.2
2.0,51.0,0.205
2.0,52.0,0.21
2.0,53.0,0.213
2.0,54.0,0.212
2.0,55.0,0.204
2.0,56.0,0.198
2.0,57.0,0.204
2.0,58.0,0.215
2.0,59.0,0.221
2.0,60.0,0.214
2.0,61.0,0.207
2.0,62.0,0.205
2.0,63.0,0.205
2.0,64.0,0.208
2.0,65.0,0.209
3.0,0.0,0.216
3.0,1.0,0.223
3.0,2.0,0.226
3.0,3.0,0.208
3.0,4.0,0.239
3.0,5.0,0.252
3.0,6.0,0.251
3.0,7.0,0.242
3.0,8.0,0.232
3.0,9.0,0.222
3.0,10.0,0.214
3.0,11.0,0.209
3.0,12.0,0.206
3.0,13.0,0.206
3.0,14.0,0.209
3.0,15.0,0.211
3.0,16.0,0.213
3.0,17.0,0.213
3.0,18.0,0.213
3.0,19.0,0.212
3.0,20.0,0.212
3.0,21.0,0.211
3.0,22.0,0.21
3.0,23.0,0.209
3.0,24.0,0.209
3.0,25.0,0.208
3.0,26.0,0.208
3.0,27.0,0.208
3.0,28.0,0.208
3.0,29.0,0.208
3.0,30.0,0.208
3.0,31.0,0.209
3.0,32.0,0.207
3.0,33.0,0.208
3.0,34.0,0.208
3.0,35.0,0.208
3.0,36.0,0.208
3.0,37.0,0.208
3.0,38.0,0.208
3.0,39.0,0.208
3.0,40.0,0.208
3.0,41.0,0.209
3.0,42.0,0.209
3.0,43.0,0.208
3.0,44.0,0.208
3.0,45.0,0.208
3.0,46.0,0.208
3.0,47.0,0.208
3.0,48.0,0.21
3.0,49.0,0.209
3.0,50.0,0.21
3.0,51.0,0.214
3.0,52.0,0.218
3.0,53.0,0.22
3.0,54.0,0.22
3.0,55.0,0.213
3.0,56.0,0.209
3.0,57.0,0.213
3.0,58.0,0.223
3.0,59.0,0.227
3.0,60.0,0.222
3.0,61.0,0.216
3.0,62.0,0.214
3.0,63.0,0.214
3.0,64.0,0.217
3.0,65.0,0.218
4.0,0.0,0.237
4.0,1.0,0.236
4.0,2.0,0.236
4.0,3.0,0.239
4.0,4.0,0.225
4.0,5.0,0.254
4.0,6.0,0.251
4.0,7.0,0.242
4.0,8.0,0.233
4.0,9.0,0.227
4.0,10.0,0.223
4.0,11.0,0.223
4.0,12.0,0.226
4.0,13.0,0.232
4.0,14.0,0.238
4.0,15.0,0.243
4.0,16.0,0.244
4.0,17.0,0.243
4.0,18.0,0.242
4.0,19.0,0.24
4.0,20.0,0.238
4.0,21.0,0.236
4.0,22.0,0.234
4.0,23.0,0.233
4.0,24.0,0.231
4.0,25.0,0.23
4.0,26.0,0.23
4.0,27.0,0.229
4.0,28.0,0.229
4.0,29.0,0.229
4.0,30.0,0.229
4.0,31.0,0.231
4.0,32.0,0.226
4.0,33.0,0.225
4.0,34.0,0.225
4.0,35.0,0.225
4.0,36.0,0.225
4.0,37.0,0.225
4.0,38.0,0.225
4.0,39.0,0.225
4.0,40.0,0.224
4.0,41.0,0.224
4.0,42.0,0.224
4.0,43.0,0.224
4.0,44.0,0.224
4.0,45.0,0.225
4.0,46.0,0.225
4.0,47.0,0.224
4.0,48.0,0.225
4.0,49.0,0.225
4.0,50.0,0.225
4.0,51.0,0.227
4.0,52.0,0.229
4.0,53.0,0.231
4.0,54.0,0.231
4.0,55.0,0.227
4.0,56.0,0.225
4.0,57.0,0.227
4.0,58.0,0.233
4.0,59.0,0.237
4.0,60.0,0.233
4.0,61.0,0.229
4.0,62.0,0.228
4.0,63.0,0.228
4.0,64.0,0.229
4.0,65.0,0.23
5.0,0.0,0.258
5.0,1.0,0.252
5.0,2.0,0.251
5.0,3.0,0.252
5.0,4.0,0.254
5.0,5.0,0.244
5.0,6.0,0.25
5.0,7.0,0.244
5.0,8.0,0.243
5.0,9.0,0.247
5.0,10.0,0.254
5.0,11.0,0.263
5.0,12.0,0.273
5.0,13.0,0.284
5.0,14.0,0.293
5.0,15.0,0.296
5.0,16.0,0.296
5.0,17.0,0.292
5.0,18.0,0.287
5.0,19.0,0.283
5.0,20.0,0.279
5.0,21.0,0.276
5.0,22.0,0.272
5.0,23.0,0.268
5.0,24.0,0.265
5.0,25.0,0.263
5.0,26.0,0.262
5.0,27.0,0.26
5.0,28.0,0.259
5.0,29.0,0.258
5.0,30.0,0.258
5.0,31.0,0.261
5.0,32.0,0.252
5.0,33.0,0.249
5.0,34.0,0.249
5.0,35.0,0.249
5.0,36.0,0.248
5.0,37.0,0.248
5.0,38.0,0.248
5.0,39.0,0.247
5.0,40.0,0.246
5.0,41.0,0.245
5.0,42.0,0.245
5.0,43.0,0.246
5.0,44.0,0.246
5.0,45.0,0.246
5.0,46.0,0.247
5.0,47.0,0.245
5.0,48.0,0.244
5.0,49.0,0.245
5.0,50.0,0.244
5.0,51.0,0.244
5.0,52.0,0.244
5.0,53.0,0.245
5.0,54.0,0.245
5.0,55.0,0.244
5.0,56.0,0.244
5.0,57.0,0.244
5.0,58.0,0.247
5.0,59.0,0.249
5.0,60.0,0.247
5.0,61.0,0.245
5.0,62.0,0.244
5.0,63.0,0.244
5.0,64.0,0.245
5.0,65.0,0.246
6.0,0.0,0.258
6.0,1.0,0.252
6.0,2.0,0.251
6.0,3.0,0.251
6.0,4.0,0.251
6.0,5.0,0.25
6.0,6.0,0.249
6.0,7.0,0.26
6.0,8.0,0.268
6.0,9.0,0.279
6.0,10.0,0.29
6.0,11.0,0.301
6.0,12.0,0.312
6.0,13.0,0.321
6.0,14.0,0.327
6.0,15.0,0.328
6.0,16.0,0.325
6.0,17.0,0.32
6.0,18.0,0.313
6.0,19.0,0.307
6.0,20.0,0.302
6.0,21.0,0.297
6.0,22.0,0.291
6.0,23.0,0.287
6.0,24.0,0.282
6.0,25.0,0.279
6.0,26.0,0.277
6.0,27.0,0.274
6.0,28.0,0.273
6.0,29.0,0.271
6.0,30.0,0.27
6.0,31.0,0.273
6.0,32.0,0.262
6.0,33.0,0.259
6.0,34.0,0.258
6.0,35.0,0.258
6.0,36.0,0.257
6.0,37.0,0.257
6.0,38.0,0.257
6.0,39.0,0.256
6.0,40.0,0.254
6.0,41.0,0.253
6.0,42.0,0.253
6.0,43.0,0.253
6.0,44.0,0.253
6.0,45.0,0.254
6.0,46.0,0.256
6.0,47.0,0.252
6.0,48.0,0.251
6.0,49.0,0.251
6.0,50.0,0.251
6.0,51.0,0.249
6.0,52.0,0.249
6.0,53.0,0.25
6.0,54.0,0.25
6.0,55.0,0.249
6.0,56.0,0.251
6.0,57.0,0.249
6.0,58.0,0.251
6.0,59.0,0.253
6.0,60.0,0.251
6.0,61.0,0.249
6.0,62.0,0.249
6.0,63.0,0.249
6.0,64.0,0.25
6.0,65.0,0.251
7.0,0.0,0.248
7.0,1.0,0.243
7.0,2.0,0.243
7.0,3.0,0.242
7.0,4.0,0.242
7.0,5.0,0.244
7.0,6.0,0.26
7.0,7.0,0.243
7.0,8.0,0.281
7.0,9.0,0.294
7.0,10.0,0.307
7.0,11.0,0.318
7.0,12.0,0.329
7.0,13.0,0.336
7.0,14.0,0.339
7.0,15.0,0.337
7.0,16.0,0.333
7.0,17.0,0.326
7.0,18.0,0.318
7.0,19.0,0.31
7.0,20.0,0.304
7.0,21.0,0.298
7.0,22.0,0.291
7.0,23.0,0.286
7.0,24.0,0.28
7.0,25.0,0.276
7.0,26.0,0.274
7.0,27.0,0.271
7.0,28.0,0.269
7.0,29.0,0.267
7.0,30.0,0.266
7.0,31.0,0.269
7.0,32.0,0.257
7.0,33.0,0.254
7.0,34.0,0.253
7.0,35.0,0.252
7.0,36.0,0.252
7.0,37.0,0.251
7.0,38.0,0.251
7.0,39.0,0.25
7.0,40.0,0.248
7.0,41.0,0.247
7.0,42.0,0.247
7.0,43.0,0.247
7.0,44.0,0.247
7.0,45.0,0.248
7.0,46.0,0.25
7.0,47.0,0.246
7.0,48.0,0.244
7.0,49.0,0.245
7.0,50.0,0.245
7.0,51.0,0.243
7.0,52.0,0.243
7.0,53.0,0.243
7.0,54.0,0.243
7.0,55.0,0.243
7.0,56.0,0.244
7.0,57.0,0.243
7.0,58.0,0.244
7.0,59.0,0.246
7.0,60.0,0.244
7.0,61.0,0.243
7.0,62.0,0.243
7.0,63.0,0.243
7.0,64.0,0.243
7.0,65.0,0.244
8.0,0.0,0.233
8.0,1.0,0.231
