i,j,score
8.0,2.0,0.231
8.0,3.0,0.232
8.0,4.0,0.233
8.0,5.0,0.243
8.0,6.0,0.268
8.0,7.0,0.281
8.0,8.0,0.232
8.0,9.0,0.309
8.0,10.0,0.321
8.0,11.0,0.332
8.0,12.0,0.342
8.0,13.0,0.346
8.0,14.0,0.346
8.0,15.0,0.342
8.0,16.0,0.335
8.0,17.0,0.326
8.0,18.0,0.315
8.0,19.0,0.306
8.0,20.0,0.299
8.0,21.0,0.292
8.0,22.0,0.284
8.0,23.0,0.278
8.0,24.0,0.272
8.0,25.0,0.267
8.0,26.0,0.264
8.0,27.0,0.261
8.0,28.0,0.259
8.0,29.0,0.257
8.0,30.0,0.256
8.0,31.0,0.26
8.0,32.0,0.246
8.0,33.0,0.243
8.0,34.0,0.242
8.0,35.0,0.241
8.0,36.0,0.241
8.0,37.0,0.24
8.0,38.0,0.24
8.0,39.0,0.239
8.0,40.0,0.237
8.0,41.0,0.235
8.0,42.0,0.235
8.0,43.0,0.236
8.0,44.0,0.236
8.0,45.0,0.237
8.0,46.0,0.239
8.0,47.0,0.235
8.0,48.0,0.233
8.0,49.0,0.234
8.0,50.0,0.234
8.0,51.0,0.232
8.0,52.0,0.232
8.0,53.0,0.233
8.0,54.0,0.233
8.0,55.0,0.232
8.0,56.0,0.233
8.0,57.0,0.232
8.0,58.0,0.234
8.0,59.0,0.236
8.0,60.0,0.234
8.0,61.0,0.232
8.0,62.0,0.232
8.0,63.0,0.232
8.0,64.0,0.233
8.0,65.0,0.233
9.0,0.0,0.217
9.0,1.0,0.218
9.0,2.0,0.22
9.0,3.0,0.222
9.0,4.0,0.227
9.0,5.0,0.247
9.0,6.0,0.279
9.0,7.0,0.294
9.0,8.0,0.309
9.0,9.0,0.217
9.0,10.0,0.334
9.0,11.0,0.343
9.0,12.0,0.348
9.0,13.0,0.349
9.0,14.0,0.345
9.0,15.0,0.338
9.0,16.0,0.329
9.0,17.0,0.318
9.0,18.0,0.306
9.0,19.0,0.296
9.0,20.0,0.287
9.0,21.0,0.279
9.0,22.0,0.271
9.0,23.0,0.264
9.0,24.0,0.257
9.0,25.0,0.252
9.0,26.0,0.249
9.0,27.0,0.246
9.0,28.0,0.244
9.0,29.0,0.241
9.0,30.0,0.241
9.0,31.0,0.244
9.0,32.0,0.231
9.0,33.0,0.227
9.0,34.0,0.226
9.0,35.0,0.225
9.0,36.0,0.225
9.0,37.0,0.225
9.0,38.0,0.224
9.0,39.0,0.223
9.0,40.0,0.221
9.0,41.0,0.22
9.0,42.0,0.22
9.0,43.0,0.221
9.0,44.0,0.221
9.0,45.0,0.221
9.0,46.0,0.224
9.0,47.0,0.22
9.0,48.0,0.218
9.0,49.0,0.219
9.0,50.0,0.218
9.0,51.0,0.217
9.0,52.0,0.218
9.0,53.0,0.219
9.0,54.0,0.219
9.0,55.0,0.217
9.0,56.0,0.218
9.0,57.0,0.217
9.0,58.0,0.221
9.0,59.0,0.224
9.0,60.0,0.221
9.0,61.0,0.218
9.0,62.0,0.218
9.0,63.0,0.218
9.0,64.0,0.219
9.0,65.0,0.22
10.0,0.0,0.202
10.0,1.0,0.207
10.0,2.0,0.21
10.0,3.0,0.214
10.0,4.0,0.223
10.0,5.0,0.254
10.0,6.0,0.29
10.0,7.0,0.307
10.0,8.0,0.321
10.0,9.0,0.334
10.0,10.0,0.201
10.0,11.0,0.345
10.0,12.0,0.344
10.0,13.0,0.339
10.0,14.0,0.333
10.0,15.0,0.325
10.0,16.0,0.315
10.0,17.0,0.303
10.0,18.0,0.29
10.0,19.0,0.279
10.0,20.0,0.27
10.0,21.0,0.262
10.0,22.0,0.253
10.0,23.0,0.246
10.0,24.0,0.239
10.0,25.0,0.234
10.0,26.0,0.231
10.0,27.0,0.228
10.0,28.0,0.225
10.0,29.0,0.223
10.0,30.0,0.222
10.0,31.0,0.226
10.0,32.0,0.212
10.0,33.0,0.209
10.0,34.0,0.208
10.0,35.0,0.208
10.0,36.0,0.207
10.0,37.0,0.207
10.0,38.0,0.207
10.0,39.0,0.206
10.0,40.0,0.204
10.0,41.0,0.203
10.0,42.0,0.203
10.0,43.0,0.203
10.0,44.0,0.204
10.0,45.0,0.204
10.0,46.0,0.206
10.0,47.0,0.203
10.0,48.0,0.201
10.0,49.0,0.202
10.0,50.0,0.202
10.0,51.0,0.202
10.0,52.0,0.203
10.0,53.0,0.205
10.0,54.0,0.205
10.0,55.0,0.202
10.0,56.0,0.202
10.0,57.0,0.202
10.0,58.0,0.207
10.0,59.0,0.211
10.0,60.0,0.207
10.0,61.0,0.204
10.0,62.0,0.203
10.0,63.0,0.203
10.0,64.0,0.205
10.0,65.0,0.206
11.0,0.0,0.192
11.0,1.0,0.199
11.0,2.0,0.202
11.0,3.0,0.209
11.0,4.0,0.223
11.0,5.0,0.263
11.0,6.0,0.301
11.0,7.0,0.318
11.0,8.0,0.332
11.0,9.0,0.343
11.0,10.0,0.345
11.0,11.0,0.186
11.0,12.0,0.331
11.0,13.0,0.324
11.0,14.0,0.318
11.0,15.0,0.31
11.0,16.0,0.299
11.0,17.0,0.286
11.0,18.0,0.272
11.0,19.0,0.261
11.0,20.0,0.251
11.0,21.0,0.243
11.0,22.0,0.234
11.0,23.0,0.227
11.0,24.0,0.22
11.0,25.0,0.215
11.0,26.0,0.212
11.0,27.0,0.209
11.0,28.0,0.207
11.0,29.0,0.204
11.0,30.0,0.204
11.0,31.0,0.208
11.0,32.0,0.194
11.0,33.0,0.191
11.0,34.0,0.19
11.0,35.0,0.19
11.0,36.0,0.19
11.0,37.0,0.19
11.0,38.0,0.189
11.0,39.0,0.189
11.0,40.0,0.187
11.0,41.0,0.186
11.0,42.0,0.187
11.0,43.0,0.187
11.0,44.0,0.187
11.0,45.0,0.187
11.0,46.0,0.189
11.0,47.0,0.186
11.0,48.0,0.186
11.0,49.0,0.186
11.0,50.0,0.186
11.0,51.0,0.187
11.0,52.0,0.19
11.0,53.0,0.192
11.0,54.0,0.192
11.0,55.0,0.188
11.0,56.0,0.186
11.0,57.0,0.187
11.0,58.0,0.195
11.0,59.0,0.2
11.0,60.0,0.195
11.0,61.0,0.19
11.0,62.0,0.189
11.0,63.0,0.189
11.0,64.0,0.192
11.0,65.0,0.193
12.0,0.0,0.184
12.0,1.0,0.192
12.0,2.0,0.197
12.0,3.0,0.206
12.0,4.0,0.226
12.0,5.0,0.273
12.0,6.0,0.312
12.0,7.0,0.329
12.0,8.0,0.342
12.0,9.0,0.348
12.0,10.0,0.344
12.0,11.0,0.331
12.0,12.0,0.17
12.0,13.0,0.311
12.0,14.0,0.304
12.0,15.0,0.296
12.0,16.0,0.284
12.0,17.0,0.268
12.0,18.0,0.252
12.0,19.0,0.24
12.0,20.0,0.231
12.0,21.0,0.222
12.0,22.0,0.213
12.0,23.0,0.206
12.0,24.0,0.199
12.0,25.0,0.194
12.0,26.0,0.192
12.0,27.0,0.189
12.0,28.0,0.187
12.0,29.0,0.185
12.0,30.0,0.185
12.0,31.0,0.189
12.0,32.0,0.175
12.0,33.0,0.173
12.0,34.0,0.173
12.0,35.0,0.172
12.0,36.0,0.172
12.0,37.0,0.172
12.0,38.0,0.172
12.0,39.0,0.171
12.0,40.0,0.171
12.0,41.0,0.17
12.0,42.0,0.17
12.0,43.0,0.17
12.0,44.0,0.17
12.0,45.0,0.171
12.0,46.0,0.172
12.0,47.0,0.17
12.0,48.0,0.171
12.0,49.0,0.17
12.0,50.0,0.17
12.0,51.0,0.173
12.0,52.0,0.178
12.0,53.0,0.181
12.0,54.0,0.181
12.0,55.0,0.174
12.0,56.0,0.17
12.0,57.0,0.173
12.0,58.0,0.184
12.0,59.0,0.191
12.0,60.0,0.183
12.0,61.0,0.177
12.0,62.0,0.175
12.0,63.0,0.176
12.0,64.0,0.18
12.0,65.0,0.181
13.0,0.0,0.18
13.0,1.0,0.188
13.0,2.0,0.193
13.0,3.0,0.206
13.0,4.0,0.232
13.0,5.0,0.284
13.0,6.0,0.321
13.0,7.0,0.336
13.0,8.0,0.346
13.0,9.0,0.349
13.0,10.0,0.339
13.0,11.0,0.324
13.0,12.0,0.311
13.0,13.0,0.154
13.0,14.0,0.292
13.0,15.0,0.284
13.0,16.0,0.267
13.0,17.0,0.248
13.0,18.0,0.229
13.0,19.0,0.217
13.0,20.0,0.207
13.0,21.0,0.198
13.0,22.0,0.189
13.0,23.0,0.182
13.0,24.0,0.176
13.0,25.0,0.172
13.0,26.0,0.17
13.0,27.0,0.168
13.0,28.0,0.166
13.0,29.0,0.164
13.0,30.0,0.164
13.0,31.0,0.168
13.0,32.0,0.156
13.0,33.0,0.155
13.0,34.0,0.155
13.0,35.0,0.155
13.0,36.0,0.155
13.0,37.0,0.155
13.0,38.0,0.155
13.0,39.0,0.154
13.0,40.0,0.154
13.0,41.0,0.154
13.0,42.0,0.154
13.0,43.0,0.154
13.0,44.0,0.154
13.0,45.0,0.154
13.0,46.0,0.155
13.0,47.0,0.155
13.0,48.0,0.156
13.0,49.0,0.155
13.0,50.0,0.156
13.0,51.0,0.161
13.0,52.0,0.167
13.0,53.0,0.171
13.0,54.0,0.171
13.0,55.0,0.162
13.0,56.0,0.155
13.0,57.0,0.16
13.0,58.0,0.176
13.0,59.0,0.184
13.0,60.0,0.174
13.0,61.0,0.166
13.0,62.0,0.163
13.0,63.0,0.164
13.0,64.0,0.169
13.0,65.0,0.17
14.0,0.0,0.18
14.0,1.0,0.187
14.0,2.0,0.193
14.0,3.0,0.209
14.0,4.0,0.238
14.0,5.0,0.293
14.0,6.0,0.327
14.0,7.0,0.339
14.0,8.0,0.346
14.0,9.0,0.345
14.0,10.0,0.333
14.0,11.0,0.318
14.0,12.0,0.304
14.0,13.0,0.292
14.0,14.0,0.139
14.0,15.0,0.265
14.0,16.0,0.242
14.0,17.0,0.219
14.0,18.0,0.2
14.0,19.0,0.188
14.0,20.0,0.179
14.0,21.0,0.172
14.0,22.0,0.164
14.0,23.0,0.158
14.0,24.0,0.153
14.0,25.0,0.15
14.0,26.0,0.148
14.0,27.0,0.147
14.0,28.0,0.146
14.0,29.0,0.144
14.0,30.0,0.145
14.0,31.0,0.148
14.0,32.0,0.139
14.0,33.0,0.139
14.0,34.0,0.139
14.0,35.0,0.139
14.0,36.0,0.139
14.0,37.0,0.139
14.0,38.0,0.139
14.0,39.0,0.139
14.0,40.0,0.14
14.0,41.0,0.141
14.0,42.0,0.14
14.0,43.0,0.14
14.0,44.0,0.14
14.0,45.0,0.139
14.0,46.0,0.139
14.0,47.0,0.141
14.0,48.0,0.145
14.0,49.0,0.142
14.0,50.0,0.144
14.0,51.0,0.152
14.0,52.0,0.161
14.0,53.0,0.166
14.0,54.0,0.165
14.0,55.0,0.152
14.0,56.0,0.142
14.0,57.0,0.149
14.0,58.0,0.171
14.0,59.0,0.182
14.0,60.0,0.169
14.0,61.0,0.158
14.0,62.0,0.154
14.0,63.0,0.154
14.0,64.0,0.16
14.0,65.0,0.162
15.0,0.0,0.183
15.0,1.0,0.188
15.0,2.0,0.194
15.0,3.0,0.211
15.0,4.0,0.243
15.0,5.0,0.296
15.0,6.0,0.328
15.0,7.0,0.337
15.0,8.0,0.342
15.0,9.0,0.338
15.0,10.0,0.325
15.0,11.0,0.31
15.0,12.0,0.296
15.0,13.0,0.284
15.0,14.0,0.265
15.0,15.0,0.127
15.0,16.0,0.212
15.0,17.0,0.188
15.0,18.0,0.17
15.0,19.0,0.161
15.0,20.0,0.155
15.0,21.0,0.149
15.0,22.0,0.142
15.0,23.0,0.138
15.0,24.0,0.134
15.0,25.0,0.132
15.0,26.0,0.131
15.0,27.0,0.131
15.0,28.0,0.13
15.0,29.0,0.129
15.0,30.0,0.129
15.0,31.0,0.132
15.0,32.0,0.127
15.0,33.0,0.128
15.0,34.0,0.128
15.0,35.0,0.128
15.0,36.0,0.128
15.0,37.0,0.128
15.0,38.0,0.128
15.0,39.0,0.128
15.0,40.0,0.129
15.0,41.0,0.131
15.0,42.0,0.13
15.0,43.0,0.13
15.0,44.0,0.129
15.0,45.0,0.128
15.0,46.0,0.127
15.0,47.0,0.132
15.0,48.0,0.137
15.0,49.0,0.134
15.0,50.0,0.136
15.0,51.0,0.148
15.0,52.0,0.158
15.0,53.0,0.164
15.0,54.0,0.164
15.0,55.0,0.147
15.0,56.0,0.133
15.0,57.0,0.143
15.0,58.0,0.17
15.0,59.0,0.183
15.0,60.0,0.167
15.0,61.0,0.154
15.0,62.0,0.149
15.0,63.0,0.148
15.0,64.0,0.155
15.0,65.0,0.157
16.0,0.0,0.185
16.0,1.0,0.189
16.0,2.0,0.195
16.0,3.0,0.213
16.0,4.0,0.244
16.0,5.0,0.296
16.0,6.0,0.325
16.0,7.0,0.333
16.0,8.0,0.335
16.0,9.0,0.329
16.0,10.0,0.315
16.0,11.0,0.299
16.0,12.0,0.284
16.0,13.0,0.267
16.0,14.0,0.242
16.0,15.0,0.212
16.0,16.0,0.119
16.0,17.0,0.163
16.0,18.0,0.148
16.0,19.0,0.142
16.0,20.0,0.138
16.0,21.0,0.134
16.0,22.0,0.128
16.0,23.0,0.125
16.0,24.0,0.122
16.0,25.0,0.121
16.0,26.0,0.121
16.0,27.0,0.12
16.0,28.0,0.12
16.0,29.0,0.119
16.0,30.0,0.119
16.0,31.0,0.122
16.0,32.0,0.12
16.0,33.0,0.122
16.0,34.0,0.121
16.0,35.0,0.121
16.0,36.0,0.121
16.0,37.0,0.121
16.0,38.0,0.12
16.0,39.0,0.121
16.0,40.0,0.123
16.0,41.0,0.126
16.0,42.0,0.125
16.0,43.0,0.123
16.0,44.0,0.123
16.0,45.0,0.122
16.0,46.0,0.12
16.0,47.0,0.127
16.0,48.0,0.133
16.0,49.0,0.13
16.0,50.0,0.132
16.0,51.0,0.146
16.0,52.0,0.159
16.0,53.0,0.166
16.0,54.0,0.165
16.0,55.0,0.145
16.0,56.0,0.127
16.0,57.0,0.14
16.0,58.0,0.173
16.0,59.0,0.187
16.0,60.0,0.168
16.0,61.0,0.153
16.0,62.0,0.146
16.0,63.0,0.145
16.0,64.0,0.153
16.0,65.0,0.154
17.0,0.0,0.186
17.0,1.0,0.189
17.0,2.0,0.195
17.0,3.0,0.213
17.0,4.0,0.243
17.0,5.0,0.292
17.0,6.0,0.32
17.0,7.0,0.326
17.0,8.0,0.326
17.0,9.0,0.318
17.0,10.0,0.303
17.0,11.0,0.286
17.0,12.0,0.268
17.0,13.0,0.248
17.0,14.0,0.219
17.0,15.0,0.188
17.0,16.0,0.163
17.0,17.0,0.114
17.0,18.0,0.133
17.0,19.0,0.131
17.0,20.0,0.128
17.0,21.0,0.124
17.0,22.0,0.12
17.0,23.0,0.117
17.0,24.0,0.115
17.0,25.0,0.114
17.0,26.0,0.114
17.0,27.0,0.114
17.0,28.0,0.114
17.0,29.0,0.113
17.0,30.0,0.113
17.0,31.0,0.115
17.0,32.0,0.116
17.0,33.0,0.118
17.0,34.0,0.118
17.0,35.0,0.117
17.0,36.0,0.117
17.0,37.0,0.117
17.0,38.0,0.116
17.0,39.0,0.117
17.0,40.0,0.12
17.0,41.0,0.123
17.0,42.0,0.121
