i,j,score
0.0,0.0,0.185
0.0,100.0,0.189
0.0,200.0,0.198
0.0,300.0,0.235
0.0,400.0,0.279
0.0,500.0,0.266
0.0,600.0,0.236
0.0,700.0,0.205
0.0,800.0,0.187
0.0,900.0,0.187
0.0,1000.0,0.2
0.0,1100.0,0.207
0.0,1200.0,0.206
0.0,1300.0,0.204
0.0,1400.0,0.2
0.0,1500.0,0.197
0.0,1600.0,0.193
0.0,1700.0,0.192
0.0,1800.0,0.191
0.0,1900.0,0.191
0.0,2000.0,0.197
0.0,2100.0,0.186
0.0,2200.0,0.185
0.0,2300.0,0.185
0.0,2400.0,0.185
0.0,2500.0,0.185
0.0,2600.0,0.185
0.0,2700.0,0.185
0.0,2800.0,0.185
0.0,2900.0,0.185
0.0,3000.0,0.186
0.0,3100.0,0.185
0.0,3200.0,0.185
0.0,3300.0,0.189
0.0,3400.0,0.194
0.0,3500.0,0.194
0.0,3600.0,0.185
0.0,3700.0,0.189
0.0,3800.0,0.203
0.0,3900.0,0.194
0.0,4000.0,0.188
0.0,4100.0,0.19
100.0,0.0,0.189
100.0,100.0,0.185
100.0,200.0,0.217
100.0,300.0,0.239
100.0,400.0,0.256
100.0,500.0,0.244
100.0,600.0,0.226
100.0,700.0,0.21
100.0,800.0,0.197
100.0,900.0,0.188
100.0,1000.0,0.185
100.0,1100.0,0.185
100.0,1200.0,0.185
100.0,1300.0,0.185
100.0,1400.0,0.185
100.0,1500.0,0.185
100.0,1600.0,0.186
100.0,1700.0,0.186
100.0,1800.0,0.186
100.0,1900.0,0.186
100.0,2000.0,0.185
100.0,2100.0,0.188
100.0,2200.0,0.189
100.0,2300.0,0.189
100.0,2400.0,0.188
100.0,2500.0,0.189
100.0,2600.0,0.19
100.0,2700.0,0.191
100.0,2800.0,0.19
100.0,2900.0,0.189
100.0,3000.0,0.187
100.0,3100.0,0.194
100.0,3200.0,0.192
100.0,3300.0,0.2
100.0,3400.0,0.208
100.0,3500.0,0.207
100.0,3600.0,0.19
100.0,3700.0,0.201
100.0,3800.0,0.217
100.0,3900.0,0.206
100.0,4000.0,0.199
100.0,4100.0,0.199
200.0,0.0,0.198
200.0,100.0,0.217
200.0,200.0,0.197
200.0,300.0,0.24
200.0,400.0,0.255
200.0,500.0,0.243
200.0,600.0,0.227
200.0,700.0,0.213
200.0,800.0,0.203
200.0,900.0,0.198
200.0,1000.0,0.198
200.0,1100.0,0.198
200.0,1200.0,0.198
200.0,1300.0,0.198
200.0,1400.0,0.198
200.0,1500.0,0.197
200.0,1600.0,0.197
200.0,1700.0,0.197
200.0,1800.0,0.197
200.0,1900.0,0.197
200.0,2000.0,0.198
200.0,2100.0,0.199
200.0,2200.0,0.199
200.0,2300.0,0.199
200.0,2400.0,0.199
200.0,2500.0,0.199
200.0,2600.0,0.2
200.0,2700.0,0.201
200.0,2800.0,0.201
200.0,2900.0,0.2
200.0,3000.0,0.198
200.0,3100.0,0.203
200.0,3200.0,0.202
200.0,3300.0,0.209
200.0,3400.0,0.215
200.0,3500.0,0.215
200.0,3600.0,0.2
200.0,3700.0,0.21
200.0,3800.0,0.223
200.0,3900.0,0.214
200.0,4000.0,0.207
200.0,4100.0,0.208
300.0,0.0,0.235
300.0,100.0,0.239
300.0,200.0,0.24
300.0,300.0,0.226
300.0,400.0,0.255
300.0,500.0,0.243
300.0,600.0,0.232
300.0,700.0,0.226
300.0,800.0,0.227
300.0,900.0,0.234
300.0,1000.0,0.24
300.0,1100.0,0.241
300.0,1200.0,0.239
300.0,1300.0,0.237
300.0,1400.0,0.234
300.0,1500.0,0.233
300.0,1600.0,0.231
300.0,1700.0,0.23
300.0,1800.0,0.23
300.0,1900.0,0.229
300.0,2000.0,0.233
300.0,2100.0,0.227
300.0,2200.0,0.226
300.0,2300.0,0.226
300.0,2400.0,0.226
300.0,2500.0,0.226
300.0,2600.0,0.226
300.0,2700.0,0.226
300.0,2800.0,0.226
300.0,2900.0,0.226
300.0,3000.0,0.227
300.0,3100.0,0.226
300.0,3200.0,0.226
300.0,3300.0,0.229
300.0,3400.0,0.233
300.0,3500.0,0.233
300.0,3600.0,0.226
300.0,3700.0,0.23
300.0,3800.0,0.238
300.0,3900.0,0.233
300.0,4000.0,0.229
300.0,4100.0,0.23
400.0,0.0,0.279
400.0,100.0,0.256
400.0,200.0,0.255
400.0,300.0,0.255
400.0,400.0,0.25
400.0,500.0,0.255
400.0,600.0,0.265
400.0,700.0,0.277
400.0,800.0,0.292
400.0,900.0,0.304
400.0,1000.0,0.309
400.0,1100.0,0.305
400.0,1200.0,0.298
400.0,1300.0,0.291
400.0,1400.0,0.285
400.0,1500.0,0.28
400.0,1600.0,0.274
400.0,1700.0,0.272
400.0,1800.0,0.27
400.0,1900.0,0.268
400.0,2000.0,0.272
400.0,2100.0,0.259
400.0,2200.0,0.258
400.0,2300.0,0.257
400.0,2400.0,0.257
400.0,2500.0,0.256
400.0,2600.0,0.254
400.0,2700.0,0.253
400.0,2800.0,0.254
400.0,2900.0,0.254
400.0,3000.0,0.256
400.0,3100.0,0.251
400.0,3200.0,0.252
400.0,3300.0,0.25
400.0,3400.0,0.251
400.0,3500.0,0.251
400.0,3600.0,0.251
400.0,3700.0,0.25
400.0,3800.0,0.254
400.0,3900.0,0.252
400.0,4000.0,0.25
400.0,4100.0,0.251
500.0,0.0,0.266
500.0,100.0,0.244
500.0,200.0,0.243
500.0,300.0,0.243
500.0,400.0,0.255
500.0,500.0,0.243
500.0,600.0,0.283
500.0,700.0,0.301
500.0,800.0,0.316
500.0,900.0,0.325
500.0,1000.0,0.325
500.0,1100.0,0.318
500.0,1200.0,0.307
500.0,1300.0,0.298
500.0,1400.0,0.289
500.0,1500.0,0.281
500.0,1600.0,0.274
500.0,1700.0,0.271
500.0,1800.0,0.267
500.0,1900.0,0.265
500.0,2000.0,0.27
500.0,2100.0,0.254
500.0,2200.0,0.253
500.0,2300.0,0.252
500.0,2400.0,0.251
500.0,2500.0,0.25
500.0,2600.0,0.248
500.0,2700.0,0.247
500.0,2800.0,0.247
500.0,2900.0,0.248
500.0,3000.0,0.251
500.0,3100.0,0.245
500.0,3200.0,0.246
500.0,3300.0,0.243
500.0,3400.0,0.243
500.0,3500.0,0.244
500.0,3600.0,0.244
500.0,3700.0,0.243
500.0,3800.0,0.246
500.0,3900.0,0.244
500.0,4000.0,0.243
500.0,4100.0,0.243
600.0,0.0,0.236
600.0,100.0,0.226
600.0,200.0,0.227
600.0,300.0,0.232
600.0,400.0,0.265
600.0,500.0,0.283
600.0,600.0,0.226
600.0,700.0,0.321
600.0,800.0,0.333
600.0,900.0,0.335
600.0,1000.0,0.329
600.0,1100.0,0.316
600.0,1200.0,0.301
600.0,1300.0,0.289
600.0,1400.0,0.278
600.0,1500.0,0.269
600.0,1600.0,0.26
600.0,1700.0,0.256
600.0,1800.0,0.252
600.0,1900.0,0.249
600.0,2000.0,0.255
600.0,2100.0,0.237
600.0,2200.0,0.235
600.0,2300.0,0.234
600.0,2400.0,0.234
600.0,2500.0,0.233
600.0,2600.0,0.23
600.0,2700.0,0.229
600.0,2800.0,0.23
600.0,2900.0,0.231
600.0,3000.0,0.234
600.0,3100.0,0.227
600.0,3200.0,0.229
600.0,3300.0,0.226
600.0,3400.0,0.227
600.0,3500.0,0.228
600.0,3600.0,0.227
600.0,3700.0,0.226
600.0,3800.0,0.231
600.0,3900.0,0.228
600.0,4000.0,0.226
600.0,4100.0,0.227
700.0,0.0,0.205
700.0,100.0,0.21
700.0,200.0,0.213
700.0,300.0,0.226
700.0,400.0,0.277
700.0,500.0,0.301
700.0,600.0,0.321
700.0,700.0,0.205
700.0,800.0,0.326
700.0,900.0,0.32
700.0,1000.0,0.313
700.0,1100.0,0.298
700.0,1200.0,0.28
700.0,1300.0,0.267
700.0,1400.0,0.255
700.0,1500.0,0.245
700.0,1600.0,0.236
700.0,1700.0,0.231
700.0,1800.0,0.228
700.0,1900.0,0.224
700.0,2000.0,0.231
700.0,2100.0,0.213
700.0,2200.0,0.211
700.0,2300.0,0.211
700.0,2400.0,0.21
700.0,2500.0,0.209
700.0,2600.0,0.207
700.0,2700.0,0.206
700.0,2800.0,0.207
700.0,2900.0,0.207
700.0,3000.0,0.211
700.0,3100.0,0.205
700.0,3200.0,0.206
700.0,3300.0,0.205
700.0,3400.0,0.208
700.0,3500.0,0.208
700.0,3600.0,0.205
700.0,3700.0,0.206
700.0,3800.0,0.214
700.0,3900.0,0.209
700.0,4000.0,0.206
700.0,4100.0,0.207
800.0,0.0,0.187
800.0,100.0,0.197
800.0,200.0,0.203
800.0,300.0,0.227
800.0,400.0,0.292
800.0,500.0,0.316
800.0,600.0,0.333
800.0,700.0,0.326
800.0,800.0,0.182
800.0,900.0,0.302
800.0,1000.0,0.295
800.0,1100.0,0.277
800.0,1200.0,0.255
800.0,1300.0,0.241
800.0,1400.0,0.228
800.0,1500.0,0.218
800.0,1600.0,0.209
800.0,1700.0,0.205
800.0,1800.0,0.201
800.0,1900.0,0.198
800.0,2000.0,0.205
800.0,2100.0,0.187
800.0,2200.0,0.186
800.0,2300.0,0.186
800.0,2400.0,0.186
800.0,2500.0,0.185
800.0,2600.0,0.184
800.0,2700.0,0.183
800.0,2800.0,0.183
800.0,2900.0,0.184
800.0,3000.0,0.186
800.0,3100.0,0.183
800.0,3200.0,0.183
800.0,3300.0,0.185
800.0,3400.0,0.19
800.0,3500.0,0.19
800.0,3600.0,0.182
800.0,3700.0,0.186
800.0,3800.0,0.199
800.0,3900.0,0.191
800.0,4000.0,0.186
800.0,4100.0,0.188
900.0,0.0,0.187
900.0,100.0,0.188
900.0,200.0,0.198
900.0,300.0,0.234
900.0,400.0,0.304
900.0,500.0,0.325
900.0,600.0,0.335
900.0,700.0,0.32
900.0,800.0,0.302
900.0,900.0,0.159
900.0,1000.0,0.277
900.0,1100.0,0.247
900.0,1200.0,0.22
900.0,1300.0,0.205
900.0,1400.0,0.192
900.0,1500.0,0.183
900.0,1600.0,0.175
900.0,1700.0,0.172
900.0,1800.0,0.17
900.0,1900.0,0.168
900.0,2000.0,0.176
900.0,2100.0,0.16
900.0,2200.0,0.16
900.0,2300.0,0.16
900.0,2400.0,0.16
900.0,2500.0,0.159
900.0,2600.0,0.159
900.0,2700.0,0.159
900.0,2800.0,0.159
900.0,2900.0,0.159
900.0,3000.0,0.16
900.0,3100.0,0.161
900.0,3200.0,0.16
900.0,3300.0,0.167
900.0,3400.0,0.175
900.0,3500.0,0.176
900.0,3600.0,0.16
900.0,3700.0,0.168
900.0,3800.0,0.189
900.0,3900.0,0.176
900.0,4000.0,0.168
900.0,4100.0,0.17
1000.0,0.0,0.2
1000.0,100.0,0.185
1000.0,200.0,0.198
1000.0,300.0,0.24
1000.0,400.0,0.309
1000.0,500.0,0.325
1000.0,600.0,0.329
1000.0,700.0,0.313
1000.0,800.0,0.295
1000.0,900.0,0.277
1000.0,1000.0,0.14
1000.0,1100.0,0.202
1000.0,1200.0,0.177
1000.0,1300.0,0.168
1000.0,1400.0,0.158
1000.0,1500.0,0.152
1000.0,1600.0,0.147
1000.0,1700.0,0.145
1000.0,1800.0,0.144
1000.0,1900.0,0.143
1000.0,2000.0,0.15
1000.0,2100.0,0.14
1000.0,2200.0,0.14
1000.0,2300.0,0.14
1000.0,2400.0,0.14
1000.0,2500.0,0.14
1000.0,2600.0,0.141
1000.0,2700.0,0.142
1000.0,2800.0,0.141
1000.0,2900.0,0.14
1000.0,3000.0,0.14
1000.0,3100.0,0.148
1000.0,3200.0,0.144
1000.0,3300.0,0.157
1000.0,3400.0,0.17
1000.0,3500.0,0.17
