i,j,score
0.0,0.0,-0.067
0.0,1.0,-0.044
0.0,2.0,-0.035
0.0,3.0,-0.018
0.0,4.0,0.008
0.0,5.0,0.039
0.0,6.0,0.047
0.0,7.0,0.036
0.0,8.0,0.014
0.0,9.0,-0.011
0.0,10.0,-0.029
0.0,11.0,-0.059
0.0,12.0,-0.066
0.0,13.0,-0.074
0.0,14.0,-0.095
0.0,15.0,-0.101
0.0,16.0,-0.119
0.0,17.0,-0.122
0.0,18.0,-0.132
0.0,19.0,-0.135
0.0,20.0,-0.137
0.0,21.0,-0.139
0.0,22.0,-0.14
0.0,23.0,-0.14
0.0,24.0,-0.141
0.0,25.0,-0.141
0.0,26.0,-0.142
0.0,27.0,-0.142
0.0,28.0,-0.142
0.0,29.0,-0.142
0.0,30.0,-0.142
0.0,31.0,-0.143
0.0,32.0,-0.134
0.0,33.0,-0.133
0.0,34.0,-0.133
0.0,35.0,-0.134
0.0,36.0,-0.134
0.0,37.0,-0.135
0.0,38.0,-0.135
0.0,39.0,-0.134
0.0,40.0,-0.132
0.0,41.0,-0.13
0.0,42.0,-0.131
0.0,43.0,-0.131
0.0,44.0,-0.132
0.0,45.0,-0.132
0.0,46.0,-0.128
0.0,47.0,-0.114
0.0,48.0,-0.111
0.0,49.0,-0.115
0.0,50.0,-0.115
0.0,51.0,-0.11
0.0,52.0,-0.094
0.0,53.0,-0.093
0.0,54.0,-0.095
0.0,55.0,-0.115
0.0,56.0,-0.13
0.0,57.0,-0.116
0.0,58.0,-0.091
0.0,59.0,-0.083
0.0,60.0,-0.084
0.0,61.0,-0.094
0.0,62.0,-0.097
0.0,63.0,-0.094
0.0,64.0,-0.093
0.0,65.0,-0.095
1.0,0.0,-0.051
1.0,1.0,-0.028
1.0,2.0,-0.012
1.0,3.0,0.005
1.0,4.0,0.025
1.0,5.0,0.054
1.0,6.0,0.06
1.0,7.0,0.042
1.0,8.0,0.027
1.0,9.0,-0.005
1.0,10.0,-0.03
1.0,11.0,-0.039
1.0,12.0,-0.067
1.0,13.0,-0.082
1.0,14.0,-0.089
1.0,15.0,-0.107
1.0,16.0,-0.112
1.0,17.0,-0.129
1.0,18.0,-0.132
1.0,19.0,-0.141
1.0,20.0,-0.144
1.0,21.0,-0.146
1.0,22.0,-0.147
1.0,23.0,-0.147
1.0,24.0,-0.148
1.0,25.0,-0.148
1.0,26.0,-0.149
1.0,27.0,-0.149
1.0,28.0,-0.149
1.0,29.0,-0.148
1.0,30.0,-0.149
1.0,31.0,-0.149
1.0,32.0,-0.141
1.0,33.0,-0.133
1.0,34.0,-0.14
1.0,35.0,-0.14
1.0,36.0,-0.141
1.0,37.0,-0.141
1.0,38.0,-0.141
1.0,39.0,-0.14
1.0,40.0,-0.138
1.0,41.0,-0.13
1.0,42.0,-0.13
1.0,43.0,-0.131
1.0,44.0,-0.131
1.0,45.0,-0.131
1.0,46.0,-0.127
1.0,47.0,-0.108
1.0,48.0,-0.105
1.0,49.0,-0.108
1.0,50.0,-0.109
1.0,51.0,-0.104
1.0,52.0,-0.101
1.0,53.0,-0.1
1.0,54.0,-0.101
1.0,55.0,-0.109
1.0,56.0,-0.136
1.0,57.0,-0.109
1.0,58.0,-0.097
1.0,59.0,-0.076
1.0,60.0,-0.09
1.0,61.0,-0.101
1.0,62.0,-0.103
1.0,63.0,-0.101
1.0,64.0,-0.1
1.0,65.0,-0.102
2.0,0.0,-0.038
2.0,1.0,-0.022
2.0,2.0,0.002
2.0,3.0,0.019
2.0,4.0,0.052
2.0,5.0,0.069
2.0,6.0,0.075
2.0,7.0,0.058
2.0,8.0,0.035
2.0,9.0,0.01
2.0,10.0,-0.015
2.0,11.0,-0.024
2.0,12.0,-0.046
2.0,13.0,-0.075
2.0,14.0,-0.09
2.0,15.0,-0.095
2.0,16.0,-0.114
2.0,17.0,-0.118
2.0,18.0,-0.121
2.0,19.0,-0.124
2.0,20.0,-0.126
2.0,21.0,-0.128
2.0,22.0,-0.129
2.0,23.0,-0.13
2.0,24.0,-0.13
2.0,25.0,-0.131
2.0,26.0,-0.132
2.0,27.0,-0.132
2.0,28.0,-0.132
2.0,29.0,-0.131
2.0,30.0,-0.132
2.0,31.0,-0.133
2.0,32.0,-0.124
2.0,33.0,-0.122
2.0,34.0,-0.123
2.0,35.0,-0.124
2.0,36.0,-0.124
2.0,37.0,-0.124
2.0,38.0,-0.125
2.0,39.0,-0.124
2.0,40.0,-0.122
2.0,41.0,-0.12
2.0,42.0,-0.12
2.0,43.0,-0.121
2.0,44.0,-0.121
2.0,45.0,-0.121
2.0,46.0,-0.118
2.0,47.0,-0.11
2.0,48.0,-0.107
2.0,49.0,-0.11
2.0,50.0,-0.111
2.0,51.0,-0.106
2.0,52.0,-0.103
2.0,53.0,-0.089
2.0,54.0,-0.09
2.0,55.0,-0.111
2.0,56.0,-0.119
2.0,57.0,-0.111
2.0,58.0,-0.086
2.0,59.0,-0.078
2.0,60.0,-0.08
2.0,61.0,-0.09
2.0,62.0,-0.106
2.0,63.0,-0.103
2.0,64.0,-0.088
2.0,65.0,-0.091
3.0,0.0,-0.031
3.0,1.0,-0.006
3.0,2.0,0.017
3.0,3.0,0.036
3.0,4.0,0.059
3.0,5.0,0.077
3.0,6.0,0.083
3.0,7.0,0.065
3.0,8.0,0.048
3.0,9.0,0.029
3.0,10.0,0.01
3.0,11.0,-0.007
3.0,12.0,-0.029
3.0,13.0,-0.053
3.0,14.0,-0.069
3.0,15.0,-0.075
3.0,16.0,-0.094
3.0,17.0,-0.098
3.0,18.0,-0.108
3.0,19.0,-0.111
3.0,20.0,-0.113
3.0,21.0,-0.115
3.0,22.0,-0.116
3.0,23.0,-0.117
3.0,24.0,-0.117
3.0,25.0,-0.118
3.0,26.0,-0.119
3.0,27.0,-0.119
3.0,28.0,-0.12
3.0,29.0,-0.119
3.0,30.0,-0.119
3.0,31.0,-0.134
3.0,32.0,-0.112
3.0,33.0,-0.11
3.0,34.0,-0.111
3.0,35.0,-0.112
3.0,36.0,-0.112
3.0,37.0,-0.113
3.0,38.0,-0.113
3.0,39.0,-0.112
3.0,40.0,-0.11
3.0,41.0,-0.108
3.0,42.0,-0.109
3.0,43.0,-0.11
3.0,44.0,-0.11
3.0,45.0,-0.123
3.0,46.0,-0.12
3.0,47.0,-0.099
3.0,48.0,-0.095
3.0,49.0,-0.099
3.0,50.0,-0.099
3.0,51.0,-0.094
3.0,52.0,-0.084
3.0,53.0,-0.083
3.0,54.0,-0.084
3.0,55.0,-0.099
3.0,56.0,-0.108
3.0,57.0,-0.1
3.0,58.0,-0.081
3.0,59.0,-0.066
3.0,60.0,-0.075
3.0,61.0,-0.085
3.0,62.0,-0.094
3.0,63.0,-0.091
3.0,64.0,-0.082
3.0,65.0,-0.077
4.0,0.0,-0.028
4.0,1.0,0.008
4.0,2.0,0.019
4.0,3.0,0.04
4.0,4.0,0.066
4.0,5.0,0.086
4.0,6.0,0.092
4.0,7.0,0.087
4.0,8.0,0.075
4.0,9.0,0.049
4.0,10.0,0.023
4.0,11.0,0.012
4.0,12.0,-0.005
4.0,13.0,-0.029
