i,j,score
0.0,100.0,0.492
0.0,200.0,0.508
0.0,300.0,0.519
0.0,400.0,0.51
0.0,500.0,0.451
0.0,600.0,0.396
0.0,700.0,0.358
0.0,800.0,0.343
0.0,900.0,0.351
0.0,1000.0,0.376
0.0,1100.0,0.415
0.0,1200.0,0.42
0.0,1300.0,0.419
0.0,1400.0,0.412
0.0,1500.0,0.405
0.0,1600.0,0.395
0.0,1700.0,0.393
0.0,1800.0,0.39
0.0,1900.0,0.386
0.0,2000.0,0.398
0.0,2100.0,0.361
0.0,2200.0,0.36
0.0,2300.0,0.359
0.0,2400.0,0.359
0.0,2500.0,0.359
0.0,2600.0,0.355
0.0,2700.0,0.354
0.0,2800.0,0.355
0.0,2900.0,0.356
0.0,3000.0,0.366
0.0,3100.0,0.351
0.0,3200.0,0.352
0.0,3300.0,0.349
0.0,3400.0,0.352
0.0,3500.0,0.352
0.0,3600.0,0.355
0.0,3700.0,0.352
0.0,3800.0,0.36
0.0,3900.0,0.357
0.0,4000.0,0.356
0.0,4100.0,0.358
100.0,200.0,0.563
100.0,300.0,0.569
100.0,400.0,0.569
100.0,500.0,0.54
100.0,600.0,0.515
100.0,700.0,0.504
100.0,800.0,0.52
100.0,900.0,0.556
100.0,1000.0,0.604
100.0,1100.0,0.629
100.0,1200.0,0.621
100.0,1300.0,0.607
100.0,1400.0,0.602
100.0,1500.0,0.597
100.0,1600.0,0.591
100.0,1700.0,0.589
100.0,1800.0,0.587
100.0,1900.0,0.584
100.0,2000.0,0.587
100.0,2100.0,0.55
100.0,2200.0,0.55
100.0,2300.0,0.557
100.0,2400.0,0.557
100.0,2500.0,0.556
100.0,2600.0,0.546
100.0,2700.0,0.544
100.0,2800.0,0.545
100.0,2900.0,0.547
100.0,3000.0,0.55
100.0,3100.0,0.536
100.0,3200.0,0.537
100.0,3300.0,0.528
100.0,3400.0,0.529
100.0,3500.0,0.528
100.0,3600.0,0.535
100.0,3700.0,0.528
100.0,3800.0,0.528
100.0,3900.0,0.529
100.0,4000.0,0.53
100.0,4100.0,0.532
200.0,300.0,0.574
200.0,400.0,0.575
200.0,500.0,0.548
200.0,600.0,0.528
200.0,700.0,0.525
200.0,800.0,0.541
200.0,900.0,0.584
200.0,1000.0,0.616
200.0,1100.0,0.622
200.0,1200.0,0.619
200.0,1300.0,0.615
200.0,1400.0,0.61
200.0,1500.0,0.605
200.0,1600.0,0.6
200.0,1700.0,0.591
200.0,1800.0,0.589
200.0,1900.0,0.586
200.0,2000.0,0.59
200.0,2100.0,0.564
200.0,2200.0,0.564
200.0,2300.0,0.564
200.0,2400.0,0.564
200.0,2500.0,0.564
200.0,2600.0,0.56
200.0,2700.0,0.558
200.0,2800.0,0.559
200.0,2900.0,0.56
200.0,3000.0,0.564
200.0,3100.0,0.551
200.0,3200.0,0.552
200.0,3300.0,0.544
200.0,3400.0,0.545
200.0,3500.0,0.544
200.0,3600.0,0.551
200.0,3700.0,0.545
200.0,3800.0,0.544
200.0,3900.0,0.546
200.0,4000.0,0.547
200.0,4100.0,0.548
300.0,400.0,0.57
300.0,500.0,0.547
300.0,600.0,0.536
300.0,700.0,0.547
300.0,800.0,0.591
300.0,900.0,0.644
300.0,1000.0,0.662
300.0,1100.0,0.662
300.0,1200.0,0.655
300.0,1300.0,0.649
300.0,1400.0,0.642
300.0,1500.0,0.626
300.0,1600.0,0.618
300.0,1700.0,0.615
300.0,1800.0,0.612
300.0,1900.0,0.603
300.0,2000.0,0.606
300.0,2100.0,0.579
300.0,2200.0,0.578
300.0,2300.0,0.578
300.0,2400.0,0.578
300.0,2500.0,0.577
300.0,2600.0,0.572
300.0,2700.0,0.57
300.0,2800.0,0.571
300.0,2900.0,0.572
300.0,3000.0,0.575
300.0,3100.0,0.561
300.0,3200.0,0.562
300.0,3300.0,0.555
300.0,3400.0,0.551
300.0,3500.0,0.551
300.0,3600.0,0.56
300.0,3700.0,0.552
300.0,3800.0,0.553
300.0,3900.0,0.553
300.0,4000.0,0.555
300.0,4100.0,0.556
400.0,500.0,0.539
400.0,600.0,0.538
400.0,700.0,0.572
400.0,800.0,0.648
400.0,900.0,0.674
400.0,1000.0,0.682
400.0,1100.0,0.676
400.0,1200.0,0.659
400.0,1300.0,0.648
400.0,1400.0,0.639
400.0,1500.0,0.624
400.0,1600.0,0.614
400.0,1700.0,0.609
400.0,1800.0,0.599
400.0,1900.0,0.594
400.0,2000.0,0.595
400.0,2100.0,0.568
400.0,2200.0,0.566
400.0,2300.0,0.565
400.0,2400.0,0.564
400.0,2500.0,0.563
400.0,2600.0,0.558
400.0,2700.0,0.552
400.0,2800.0,0.553
400.0,2900.0,0.557
400.0,3000.0,0.56
400.0,3100.0,0.547
400.0,3200.0,0.549
400.0,3300.0,0.541
400.0,3400.0,0.539
400.0,3500.0,0.539
400.0,3600.0,0.546
400.0,3700.0,0.542
400.0,3800.0,0.541
400.0,3900.0,0.542
400.0,4000.0,0.544
400.0,4100.0,0.545
500.0,600.0,0.472
500.0,700.0,0.487
500.0,800.0,0.55
500.0,900.0,0.624
500.0,1000.0,0.631
500.0,1100.0,0.616
500.0,1200.0,0.6
500.0,1300.0,0.583
500.0,1400.0,0.57
500.0,1500.0,0.554
500.0,1600.0,0.538
500.0,1700.0,0.532
500.0,1800.0,0.526
500.0,1900.0,0.517
500.0,2000.0,0.521
500.0,2100.0,0.495
500.0,2200.0,0.493
500.0,2300.0,0.491
500.0,2400.0,0.491
500.0,2500.0,0.489
500.0,2600.0,0.485
500.0,2700.0,0.483
500.0,2800.0,0.484
500.0,2900.0,0.484
500.0,3000.0,0.489
500.0,3100.0,0.479
500.0,3200.0,0.481
500.0,3300.0,0.476
500.0,3400.0,0.476
500.0,3500.0,0.476
500.0,3600.0,0.48
500.0,3700.0,0.478
500.0,3800.0,0.481
500.0,3900.0,0.48
500.0,4000.0,0.481
500.0,4100.0,0.483
600.0,700.0,0.398
600.0,800.0,0.417
600.0,900.0,0.565
600.0,1000.0,0.558
600.0,1100.0,0.539
600.0,1200.0,0.515
600.0,1300.0,0.497
600.0,1400.0,0.479
600.0,1500.0,0.464
600.0,1600.0,0.45
600.0,1700.0,0.444
600.0,1800.0,0.439
600.0,1900.0,0.433
600.0,2000.0,0.439
600.0,2100.0,0.412
600.0,2200.0,0.41
600.0,2300.0,0.409
600.0,2400.0,0.409
600.0,2500.0,0.408
600.0,2600.0,0.405
600.0,2700.0,0.403
600.0,2800.0,0.404
600.0,2900.0,0.405
600.0,3000.0,0.412
600.0,3100.0,0.402
600.0,3200.0,0.403
600.0,3300.0,0.401
600.0,3400.0,0.404
600.0,3500.0,0.405
600.0,3600.0,0.404
600.0,3700.0,0.405
600.0,3800.0,0.414
600.0,3900.0,0.41
600.0,4000.0,0.408
600.0,4100.0,0.41
700.0,800.0,0.322
700.0,900.0,0.337
700.0,1000.0,0.379
700.0,1100.0,0.391
700.0,1200.0,0.39
700.0,1300.0,0.385
700.0,1400.0,0.377
700.0,1500.0,0.369
700.0,1600.0,0.361
700.0,1700.0,0.357
700.0,1800.0,0.353
700.0,1900.0,0.35
700.0,2000.0,0.356
700.0,2100.0,0.331
700.0,2200.0,0.329
700.0,2300.0,0.329
700.0,2400.0,0.329
700.0,2500.0,0.328
700.0,2600.0,0.326
700.0,2700.0,0.326
700.0,2800.0,0.326
700.0,2900.0,0.327
700.0,3000.0,0.337
700.0,3100.0,0.326
700.0,3200.0,0.326
700.0,3300.0,0.328
700.0,3400.0,0.334
700.0,3500.0,0.335
700.0,3600.0,0.328
700.0,3700.0,0.332
700.0,3800.0,0.347
700.0,3900.0,0.341
700.0,4000.0,0.336
700.0,4100.0,0.34
800.0,900.0,0.271
800.0,1000.0,0.284
800.0,1100.0,0.293
800.0,1200.0,0.297
800.0,1300.0,0.297
800.0,1400.0,0.295
800.0,1500.0,0.291
800.0,1600.0,0.287
800.0,1700.0,0.285
800.0,1800.0,0.283
800.0,1900.0,0.281
800.0,2000.0,0.288
800.0,2100.0,0.276
800.0,2200.0,0.274
800.0,2300.0,0.274
800.0,2400.0,0.274
800.0,2500.0,0.274
800.0,2600.0,0.272
800.0,2700.0,0.272
800.0,2800.0,0.272
800.0,2900.0,0.273
800.0,3000.0,0.273
800.0,3100.0,0.272
800.0,3200.0,0.271
800.0,3300.0,0.275
800.0,3400.0,0.282
800.0,3500.0,0.283
800.0,3600.0,0.273
800.0,3700.0,0.279
800.0,3800.0,0.297
800.0,3900.0,0.289
800.0,4000.0,0.283
800.0,4100.0,0.287
900.0,1000.0,0.225
900.0,1100.0,0.229
900.0,1200.0,0.233
900.0,1300.0,0.236
900.0,1400.0,0.237
900.0,1500.0,0.236
900.0,1600.0,0.233
900.0,1700.0,0.233
900.0,1800.0,0.233
900.0,1900.0,0.232
900.0,2000.0,0.239
900.0,2100.0,0.226
900.0,2200.0,0.226
900.0,2300.0,0.226
900.0,2400.0,0.226
900.0,2500.0,0.226
900.0,2600.0,0.225
900.0,2700.0,0.226
900.0,2800.0,0.225
