epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,band_1,band_2,band_3,band_4,band_5
0,0,0,0.41033,0.4109,0.6,696,1390,2082,2772,3465
1,0,0,0.40569,0.4063,0.6,695,1390,2083,2772,3464
2,0,0,0.40108,0.40172,0.61,695,1390,2083,2771,3464
3,0,0,0.3965,0.39716,0.62,694,1389,2084,2770,3463
4,0,0,0.39193,0.39262,0.62,694,1389,2084,2769,3463
5,0,0,0.38739,0.3881,0.63,693,1389,2085,2768,3463
6,0,0,0.38287,0.38359,0.64,692,1390,2085,2767,3462
7,0,0,0.37835,0.37911,0.65,692,1390,2085,2766,3462
8,0,0,0.37384,0.37463,0.66,691,1390,2084,2765,3461
9,0,0,0.36934,0.37015,0.66,691,1389,2084,2764,3461
10,0,0,0.36483,0.36566,0.67,690,1389,2084,2763,3460
11,0,0,0.36031,0.36117,0.68,690,1389,2084,2762,3460
12,0,0,0.35579,0.35669,0.69,689,1389,2085,2761,3459
13,0,0,0.35126,0.35219,0.69,689,1390,2085,2761,3459
14,0,0,0.34671,0.34769,0.7,688,1390,2084,2760,3458
15,0,0,0.34214,0.34316,0.71,688,1389,2084,2759,3458
16,0,0,0.33757,0.33862,0.71,687,1389,2084,2758,3457
17,0,0,0.33298,0.33407,0.72,686,1389,2085,2757,3457
18,0,0,0.32838,0.32951,0.73,686,1389,2085,2757,3456
19,0,0,0.32377,0.32493,0.74,685,1389,2084,2756,3456
20,0,0,0.31913,0.32034,0.75,685,1389,2084,2755,3455
21,0,0,0.31449,0.31574,0.76,684,1389,2084,2754,3455
22,0,0,0.30983,0.31112,0.76,684,1389,2085,2753,3455
23,0,0,0.30515,0.30649,0.77,683,1389,2085,2752,3454
24,0,0,0.30046,0.30184,0.78,682,1389,2084,2752,3454
25,0,0,0.29576,0.29718,0.79,682,1389,2084,2751,3453
26,0,0,0.29104,0.2925,0.79,681,1389,2084,2750,3453
27,0,0,0.28632,0.2878,0.8,681,1389,2085,2749,3452
28,0,0,0.28158,0.28309,0.81,680,1389,2084,2748,3452
29,0,0,0.27683,0.27838,0.82,680,1389,2084,2747,3451
30,0,0,0.27207,0.27366,0.83,679,1389,2084,2746,3451
31,0,0,0.26731,0.26894,0.83,679,1389,2084,2746,3450
32,0,0,0.26255,0.26421,0.84,678,1389,2084,2745,3450
33,0,0,0.25778,0.25949,0.85,677,1389,2084,2744,3449
34,0,0,0.25302,0.25477,0.86,677,1389,2084,2743,3449
35,0,0,0.24826,0.25006,0.87,676,1389,2084,2742,3448
36,0,0,0.24351,0.24535,0.88,676,1389,2084,2741,3447
37,0,0,0.23877,0.24065,0.89,675,1389,2084,2740,3447
38,0,0,0.23405,0.23597,0.9,675,1389,2084,2740,3446
39,0,0,0.22937,0.23131,0.91,674,1389,2084,2739,3446
40,0,0,0.22473,0.22669,0.92,674,1389,2084,2738,3445
41,0,0,0.22014,0.22211,0.93,673,1389,2084,2737,3445
42,0,0,0.21562,0.21758,0.94,673,1389,2084,2736,3444
43,0,0,0.21117,0.21315,0.95,672,1389,2084,2735,3443
44,0,0,0.20681,0.20881,0.96,672,1389,2084,2734,3443
45,0,0,0.20255,0.20457,0.97,671,1389,2084,2733,3442
46,0,0,0.19841,0.20044,0.98,671,1389,2084,2732,3442
47,0,0,0.1944,0.19644,0.99,670,1389,2084,2732,3441
48,0,0,0.19054,0.19259,0.99,670,1389,2084,2731,3441
49,0,0,0.18682,0.18888,1.0,669,1389,2084,2730,3440
50,0,0,0.18327,0.18534,1.01,669,1389,2084,2729,3439
51,0,0,0.17989,0.18196,1.02,668,1389,2084,2728,3439
52,0,0,0.17668,0.17877,1.03,668,1389,2084,2727,3438
53,0,0,0.17367,0.17575,1.05,667,1389,2084,2727,3438
54,0,0,0.17084,0.17292,1.06,667,1389,2084,2726,3437
55,0,0,0.1682,0.17027,1.07,666,1389,2084,2725,3437
56,0,0,0.16573,0.1678,1.08,666,1389,2084,2724,3436
57,0,0,0.16343,0.16548,1.09,666,1389,2084,2724,3435
58,0,0,0.16131,0.16334,1.11,665,1389,2084,2723,3435
59,0,0,0.15937,0.16135,1.12,665,1389,2084,2722,3434
60,0,0,0.15761,0.15954,1.13,665,1390,2084,2722,3434
61,0,0,0.15604,0.15793,1.13,664,1390,2084,2721,3434
62,0,0,0.15468,0.1565,1.14,664,1390,2083,2721,3433
63,0,0,0.15354,0.15529,1.15,664,1390,2082,2720,3433
64,0,0,0.15261,0.15428,1.16,663,1390,2082,2719,3432
65,0,0,0.15189,0.15347,1.17,663,1390,2081,2719,3432
66,0,0,0.15134,0.15285,1.18,663,1390,2080,2718,3431
67,0,0,0.15096,0.15239,1.19,662,1390,2079,2718,3431
68,0,0,0.15071,0.15207,1.2,662,1390,2077,2718,3430
69,0,0,0.15057,0.15187,1.21,662,1391,2076,2717,3430
70,0,0,0.15052,0.15175,1.21,662,1391,2075,2717,3430
71,0,0,0.15053,0.15171,1.22,662,1392,2073,2716,3429
72,0,0,0.15058,0.15171,1.23,662,1392,2072,2716,3429
73,0,0,0.15064,0.15173,1.24,661,1393,2070,2715,3429
74,0,0,0.15069,0.15175,1.25,661,1393,2069,2715,3429
75,0,0,0.15072,0.15177,1.25,661,1393,2067,2715,3428
76,0,0,0.15073,0.15176,1.26,661,1394,2066,2715,3428
77,0,0,0.15069,0.15172,1.27,661,1394,2064,2714,3428
78,0,0,0.1506,0.15165,1.28,661,1395,2062,2714,3428
79,0,0,0.15048,0.15155,1.28,661,1395,2061,2714,3428
80,0,0,0.15031,0.15141,1.29,661,1396,2059,2714,3427
81,0,0,0.15011,0.15124,1.3,661,1396,2057,2714,3427
82,0,0,0.14988,0.15105,1.31,661,1396,2055,2713,3427
83,0,0,0.14962,0.15083,1.31,661,1397,2053,2713,3427
84,0,0,0.14935,0.1506,1.32,661,1397,2051,2713,3427
85,0,0,0.14906,0.15037,1.33,661,1398,2049,2713,3427
86,0,0,0.14877,0.15013,1.34,661,1398,2047,2713,3427
87,0,0,0.14848,0.1499,1.35,661,1397,2045,2712,3428
88,0,0,0.14819,0.14967,1.36,661,1397,2043,2712,3428
89,0,0,0.14791,0.14945,1.37,661,1397,2041,2712,3428
90,0,0,0.14764,0.14923,1.37,661,1396,2039,2712,3428
91,0,0,0.14737,0.14902,1.38,661,1397,2037,2711,3428
92,0,0,0.14712,0.14883,1.39,662,1397,2035,2711,3428
93,0,0,0.14688,0.14864,1.4,662,1397,2033,2711,3428
94,0,0,0.14666,0.14846,1.41,662,1397,2031,2711,3428
95,0,0,0.14645,0.14829,1.42,662,1397,2029,2711,3428
96,0,0,0.14625,0.14813,1.42,662,1397,2026,2711,3428
97,0,0,0.14607,0.14798,1.43,662,1397,2024,2711,3428
98,0,0,0.14589,0.14783,1.44,662,1397,2023,2710,3428
99,0,0,0.14571,0.14769,1.45,662,1397,2021,2710,3428
100,0,0,0.14553,0.14754,1.45,662,1397,2019,2710,3428
101,0,0,0.14535,0.14739,1.46,662,1397,2017,2710,3428
102,0,0,0.14516,0.14724,1.47,662,1397,2016,2710,3428
103,0,0.00062,0.14496,0.14708,1.48,662,1397,2014,2710,3428
104,0,0.0031,0.14476,0.1469,1.49,662,1397,2013,2710,3428
105,0.00147,0.00569,0.14454,0.14671,1.49,661,1397,2012,2709,3428
106,0.00464,0.00837,0.14431,0.14651,1.5,661,1397,2011,2709,3428
107,0.00797,0.01116,0.14407,0.14631,1.51,661,1397,2010,2709,3428
108,0.01146,0.01441,0.14382,0.14606,1.52,661,1397,2009,2709,3428
109,0.01507,0.01777,0.14355,0.14582,1.52,661,1397,2009,2708,3428
110,0.01878,0.02124,0.14328,0.14556,1.53,661,1397,2008,2708,3428
111,0.02256,0.02494,0.14301,0.14528,1.54,661,1397,2008,2708,3428
112,0.02638,0.02868,0.14273,0.145,1.55,661,1397,2007,2708,3428
113,0.03029,0.03239,0.14244,0.14473,1.55,661,1397,2007,2708,3428
114,0.0342,0.03613,0.14215,0.14445,1.56,661,1397,2006,2707,3428
115,0.03808,0.03993,0.14187,0.14416,1.57,660,1397,2006,2707,3428
116,0.04193,0.04369,0.14158,0.14388,1.58,660,1397,2006,2707,3428
117,0.04572,0.04742,0.1413,0.1436,1.59,660,1397,2006,2707,3428
118,0.04958,0.05108,0.14102,0.14332,1.59,660,1397,2006,2707,3428
119,0.0534,0.05471,0.14073,0.14305,1.6,660,1397,2006,2706,3428
120,0.05718,0.05824,0.14045,0.14278,1.61,660,1397,2006,2706,3428
